Latitude,Longitude,Latitudezoomee,Longitudezoomee,REFERENCE,Région,Commune,Insee,Catégorie,Désignation,Propriétaire,Description,Année de découverte/création
574,565,422,564,Fo12,Eriador,Ergion,,Forêt,Glad ereigon,Pas de dominance,,
564,569,717,714,Ca12,Eriador,Ergion,,Campement,Campement de la Moria,Pas de dominance,,
565,568,624,706,Ca13,Eriador,Ergion,,Campement,Campement Echad Dunnan,Pas de dominance,,
581,562,508,809,Fl3,Eriador,Ergion,,Fleuve,Emyn naer,Pas de dominance,,
575,570,556,633,Fo13,Eriador,Ergion,,Forêt,Forêt de la houssaye,Pas de dominance,,
573,575,490,560,Po16,Eriador,Ergion,,Point de régénération de magie ,Puits de mana,Pas de dominance,,
572,555,698,720,Po17,Eriador,Ergion,,Point de régénération de magie ,Puits de mana,Pas de dominance,,
573,559,715,705,Ho13,Eriador,Ergion,,Hotel de soin,Puits de vie,Pas de dominance,,
572,569,618,640,Ho14,Eriador,Ergion,,Hotel de soin,Puits de vie,Pas de dominance,,
569,542,542,627,Ho15,Eriador,Ergion,,Hotel de soin,Puits de vie,Pas de dominance,,
577,532,608,535,Ho16,Eriador,Ergion,,Hotel de soin,Puits de vie,Pas de dominance,,
567,534,586,605,Vier5,Eriador,,,,,,,8210
566,535,434,542,Ca12,Eriador,Evendim,,Campement,Campement des géants,Hommes,,
579,537,408,559,Mo7,Eriador,Evendim,,Montagne,Montagne des géants,Hommes,,
573,536,673,522,Fo13,Eriador,Evendim,,Forêt,Ost forod,Hommes,,
574,564,706,606,Vieri0,Eriador,Evendim,,Village,Parth Aduial,Hommes,,
564,574,551,720,vieri1,Eriador,Evendim,,Village,Annuminas (capitale),Hommes,,
579,566,733,759,Fl4,Eriador,Evendim,,Fleuve,Brandevin,Hommes,,
573,561,692,756,Ca14,Eriador,Evendim,,Campement,Campement de Dwalling,Hommes,,
574,587,630,791,Fo14,Eriador,Evendim,,Forêt,Forêt du toreau,Hommes,,
564,522,506,618,Au6,Eriador,Evendim,,Auberge,Tour tyl ruimen,Hommes,,
565,541,593,605,Au7,Eriador,Evendim,,Auberge,Tour tyl annun,Hommes,,
581,560,656,485,Mo7,Eriador,Evendim,,Montagne,Montagne Tryn Foreth,Hommes,,
575,565,592,701,Po18,Eriador,Evendim,,Point de régénération de magie ,Puits de mana,Hommes,,
564,569,533,705,Po19,Eriador,Evendim,,Point de régénération de magie ,Puits de mana,Hommes,,
565,568,576,792,Po20,Eriador,Evendim,,Point de régénération de magie ,Puits de mana,Hommes,,
581,562,437,640,Ho17,Eriador,Evendim,,Hotel de soin,Puits de vie,Hommes,,
575,570,614,566,Ho18,Eriador,Evendim,,Hotel de soin,Puits de vie,Hommes,,
573,575,619,522,Ho19,Eriador,Evendim,,Hotel de soin,Puits de vie,Hommes,,
572,568,474,558,Ho20,Eriador,Evendim,,Hotel de soin,Puits de vie,Hommes,,
573,562,503,597,Ho21,Eriador,Evendim,,Hotel de soin,Puits de vie,Hommes,,
572,570,547,525,Vier6,Eriador,,,,,,,10921
569,575,625,499,Vifo0,Eriador,Forochel,,Village,Ville de suri-kyla,Hommes,,
577,555,649,499,Au8,Eriador,Forochel,,Auberge,Auberge de suri-kyla,Hommes,,
567,559,663,499,Lo2,Eriador,Forochel,,Location de chevaux,location de chevaux de suri-kyla,Hommes,,
566,569,377,527,Mo8,Eriador,Forochel,,Montagne,Montagne de kuru-leiri,Hommes,,
579,542,401,527,Ho22,Eriador,Forochel,,Hotel de soin,Puits de vie,Hommes,,
573,532,425,527,Lo3,Eriador,Forochel,,Location de chevaux,Location Zigi lguno,Hommes,,
574,534,439,631,Mo9,Eriador,Forochel,,Montagne,Montagne Zigi Iguno,Hommes,,
564,535,463,631,Ca15,Eriador,Forochel,,Campement,Campement sauvage,Hommes,,
579,537,487,631,Ca16,Eriador,Forochel,,Campement,Kayppa kohta,Hommes,,
568,533,845,750,Mo10,Eriador,Forochel,,Montagne,Ita-ma,Hommes,,
581,533,646,643,Ca17,Eriador,Forochel,,Campement,Campement de mercenaires,Hommes,,
575,533,670,643,Mo11,Eriador,Forochel,,Montagne,Montagne Ita-ma,Hommes,,
573,536,694,643,Fo15,Eriador,Forochel,,Forêt,Lansi-ma,Hommes,,
572,537,544,420,Po21,Eriador,Forochel,,Point de régénération de magie ,Puits de mana,Hommes,,
569,521,510,697,Po22,Eriador,Forochel,,Point de régénération de magie ,Puits de mana,Hommes,,
577,521,579,490,Po23,Eriador,Forochel,,Point de régénération de magie ,Puits de mana,Hommes,,
567,531,679,510,Po24,Eriador,Forochel,,Point de régénération de magie ,Puits de mana,Hommes,,
566,538,603,490,Ho23,Eriador,Forochel,,Hotel de soin,Puits de vie,Hommes,,
579,538,703,510,Ho24,Eriador,Forochel,,Hotel de soin,Puits de vie,Hommes,,
573,537,691,562,Vier7,Eriador,,,,,Hommes,,
574,535,410,747,Lo4,Eriador,Hauts du nord,,Location de chevaux,Location du pont à tréteaux,Hommes,,
564,534,434,747,Au9,Eriador,Hauts du nord,,Auberge,Auberge du pont à tréteaux ,Hommes,,
565,521,458,747,Ca18,Eriador,Hauts du nord,,Campement,Campement sauvage,Hommes,,
581,535,482,747,Po25,Eriador,Hauts du nord,,Point de régénération de magie ,Puits de mana,Hommes,,
575,532,506,747,Ho25,Eriador,Hauts du nord,,Hotel de soin,Puits de vie,Hommes,,
573,534,512,726,Mo12,Eriador,Hauts du nord,,Montagne,Montagnes du Nan Wathren,Hommes,,
572,535,522,571,Fo16,Eriador,Hauts du nord,,Forêt,Forêt d'Annundir,Hommes,,
569,537,700,600,Lo5,Eriador,Hauts du nord,,Location de chevaux,Location de la lande du roi,Hommes,,
577,536,724,600,Au10,Eriador,Hauts du nord,,Auberge,Auberge de la lande du roi,Hommes,,
567,564,748,600,Ca18,Eriador,Hauts du nord,,Campement,Campement sauvage,Hommes,,
566,574,772,600,Ho26,Eriador,Hauts du nord,,Hotel de soin,Puits de vie,Hommes,,
579,566,796,600,Po26,Eriador,Hauts du nord,,Point de régénération de magie ,Puits de mana,Hommes,,
573,561,820,600,Vihdn0,Eriador,Hauts du nord,,Village,Lande du roi,Hommes,,
574,587,781,709,Fo17,Eriador,Hauts du nord,,Forêt,Forêt du Bol Dinen,Hommes,,
564,522,795,588,Fo18,Eriador,Hauts du nord,,Forêt,Forêt du Nan Amulg est,Hommes,,
579,541,376,508,Ca19,Eriador,Hauts du nord,,Campement,Campement sauvage,Hommes,,
573,560,400,508,Ho27,Eriador,Hauts du nord,,Hotel de soin,Puits de vie,Hommes,,
574,565,627,554,Po27,Eriador,Hauts du nord,,Point de régénération de magie ,Puits de mana,Hommes,,
564,569,774,536,Po28,Eriador,Hauts du nord,,Point de régénération de magie ,,Hommes,,
565,568,807,569,Vier8,Eriador,,,,,Trolls,,
581,562,400,512,Au11,Eriador,Landes d'etten,,Auberge,Auberge de Gram,Trolls,,
575,570,424,512,Au12,Eriador,Landes d'etten,,Auberge,Auberge de Gram,Trolls,,
573,575,448,512,Au13,Eriador,Landes d'etten,,Auberge,Refuge de Gram,Trolls,,
572,555,472,512,Lo6,Eriador,Landes d'etten,,Location de chevaux,Location de chevaux de Gram,Trolls,,
573,559,400,535,Ca20,Eriador,Landes d'etten,,Campement,Campement de mercenaires,Trolls,,
572,569,349,641,Ca21,Eriador,Landes d'etten,,Campement,Campement sauvage,Trolls,,
569,542,591,729,Fo19,Eriador,Landes d'etten,,Forêt,Forêt Hitlad,Trolls,,
577,532,712,797,Au14,Eriador,Landes d'etten,,Auberge,Auberge des Monts froids,Trolls,,
567,534,723,701,Mo13,Eriador,Landes d'etten,,Montagne,Monts froids,Trolls,,
566,535,736,797,Lo7,Eriador,Landes d'etten,,Location de chevaux,Location des Monts froids,Trolls,,
579,537,512,567,Mo14,Eriador,Landes d'etten,,Montagne,Montagne muraille d'Arador,Trolls,,
573,536,563,577,Mo15,Eriador,Landes d'etten,,Montagne,Montagne muraille d'Arador,Trolls,,
574,564,629,572,Mo16,Eriador,Landes d'etten,,Montagne,Avant poste d'Arador,Trolls,,
564,574,665,571,Ba2,Eriador,Landes d'etten,,Bataille,Bataille de l'avant poste d'Arador,,,
579,566,639,514,Ba3,Eriador,Landes d'etten,,Bataille,Bataille du gouffre d'Issen,,,
573,561,434,626,Ba4,Eriador,Landes d'etten,,Bataille,Bataille de Lugazag,,,
574,587,718,806,Ho28,Eriador,Landes d'etten,,Hotel de soin,Puits de vie,Trolls,,
564,522,414,519,Po29,Eriador,Landes d'etten,,Point de régénération de magie ,Puits de mana,Trolls,,
565,541,438,519,Ho29,Eriador,Landes d'etten,,Hotel de soin,Puits de vie,Trolls,,
581,560,883,549,Vier9,Eriador,,,,,,Les monts brûmeux s'étenden sur 1280km du nord au sud ils séparent Eriador et le Rhovanion,
575,565,736,579,Ca22,Eriador,Monts brumeux,,Campement,Campement du haut col,,,
564,569,760,579,Ca23,Eriador,Monts brumeux,,Campement,Campement sauvage,,,
565,568,598,694,Lo8,Eriador,Monts brumeux,,Location de chevaux,Location des hautes falaises,,,
581,562,860,759,Ca24,Eriador,Monts brumeux,,Campement,Campement sud,,,
575,570,482,668,Lo9,Eriador,Monts brumeux,,Location de chevaux,Locations fondcombe,,,
573,575,829,652,Lo10,Eriador,Monts brumeux,,Location de chevaux,Locations du haut col,,,
572,568,799,761,Mo17,Eriador,Monts brumeux,,Montagne,Montagne le haut col,,Empruntée par Bilbon dans le film après avoir essayé de rejoindre la moria via le Caradhas,
573,562,857,719,Fl5,Eriador,Monts brumeux,,Fleuve,Sourrce de la rivière aux iris,,,
572,570,852,852,Mo18,Eriador,Monts brumeux,,Montagne,Col du Caradhas,,,
569,575,620,555,Mo19,Eriador,Monts brumeux,,Montagne,Mont gundabad,,,
577,555,642,620,Mo20,Eriador,Monts brumeux,,Montagne,Fautes falaises,,,
567,559,782,712,Mo21,Eriador,Monts brumeux,,Montagne,Helegrod,,,
566,569,806,511,Po30,Eriador,Monts brumeux,,Point de régénération de magie ,Puits de mana,,,
579,542,830,571,Po31,Eriador,Monts brumeux,,Point de régénération de magie ,Puits de mana,,,
573,532,856,571,Po32,Eriador,Monts brumeux,,Point de régénération de magie ,Puits de mana,,,
574,534,658,754,Ho30,Eriador,Monts brumeux,,Hotel de soin,Puits de vie,,,
564,535,682,754,Ho31,Eriador,Monts brumeux,,Hotel de soin,Puits de vie,,,
579,537,589,736,Po33,Eriador,Monts brumeux,,Point de régénération de magie ,Puits de mana,,,
568,533,613,736,Ho32,Eriador,Monts brumeux,,Hotel de soin,Puits de vie,,,
581,533,873,791,Vier10,Eriador,,,,,Saroumane,,
575,533,610,594,Ba5,Eriador,Nan curunir,,Bataille,Bataille d'Isengard,,,
573,536,606,650,Ba6,Eriador,Nan curunir,,Bataille,Bataille de Hornburg,,,
572,537,634,565,Ca25,Eriador,Nan curunir,,Campement,Campement d'Isengard,Saroumane,,
569,521,658,565,Au14,Eriador,Nan curunir,,Auberge,Forge d'Isengard,Saroumane,,
577,521,682,565,Ca26,Eriador,Nan curunir,,Campement,Campement des orcs,Saroumane,,
567,531,702,565,Ho33,Eriador,Nan curunir,,Hotel de soin,Puits de vie,Saroumane,,
566,538,726,565,Po34,Eriador,Nan curunir,,Point de régénération de magie ,Puits de mana,Saroumane,,
579,538,470,640,Ca26,Eriador,Nan curunir,,Campement,Campement ouest,Saroumane,,
573,537,494,640,Po35,Eriador,Nan curunir,,Point de régénération de magie ,Puits de mana,Saroumane,,
574,535,518,640,Ho34,Eriador,Nan curunir,,Hotel de soin,Puits de vie,Saroumane,,
564,534,642,758,Ca27,Eriador,Nan curunir,,Campement,Campement sud,Saroumane,,
565,521,666,758,Ho35,Eriador,Nan curunir,,Hotel de soin,Puits de vie,Saroumane,,
581,535,690,758,Po36,Eriador,Nan curunir,,Point de régénération de magie ,Puits de mana,Saroumane,,
575,532,771,530,Fl6,Eriador,Nan curunir,,Fleuve,Fleuve Isen,Saroumane,,
573,534,380,618,Mo22,Eriador,Nan curunir,,Montagne,Montagnes du pays de Dun ,Saroumane,,
572,535,554,764,Lo11,Eriador,Nan curunir,,Location de chevaux,Location d'Isengard,Saroumane,,
569,537,560,566,Po37,Eriador,Nan curunir,,Point de régénération de magie ,Puits de mana,Saroumane,,
577,536,584,566,Po38,Eriador,Nan curunir,,Point de régénération de magie ,Puits de mana,Saroumane,,
567,564,608,566,Ho36,Eriador,Nan curunir,,Hotel de soin,Puits de vie,Saroumane,,
566,574,668,632,Vier11,Eriador,,,,,,,7100
579,566,576,673,Vipab0,Eriador,Pays de bree,,Village,Bree,Hobbits,,
573,561,600,673,Au15,Eriador,Pays de bree,,Auberge,Auberge du poney fringant,Hobbits,,
574,587,671,738,Fo20,Eriador,Pays de bree,,Forêt,Bois de chet sud,Hobbits,,
564,522,561,665,Lo18,Eriador,Pays de bree,,Location de chevaux,Location de Bree,Hobbits,,
579,541,667,701,Ca28,Eriador,Pays de bree,,Campement,Campement de Staddel,Hobbits,,
573,560,650,653,Vipab1,Eriador,Pays de bree,,Village,Combe,Hobbits,,
574,565,674,653,Au15,Eriador,Pays de bree,,Auberge,Auberge de Combe,Hobbits,,
564,569,777,565,Fo20,Eriador,Pays de bree,,Forêt,Bois de chet lointain,Hobbits,,
565,568,326,734,Vipab2,Eriador,Pays de bree,,Village,Pays de Bouc,Hobbits,,
581,562,360,734,Lo19,Eriador,Pays de bree,,Location de chevaux,Location Pays de Bouc,Hobbits,,
575,570,486,750,Mo23,Eriador,Pays de bree,,Montagne,Hauts des galgals,Hobbits,,
573,575,775,618,Fo21,Eriador,Pays de bree,,Forêt,Bois de chet nord,Hobbits,,
572,555,867,674,Fl7,Eriador,Pays de bree,,Fleuve,Gorge de l'eau aux cousiins,Hobbits,,
573,559,668,575,Ca28,Eriador,Pays de bree,,Campement,Campement Archet,Hobbits,,
572,569,530,651,Ca29,Eriador,Pays de bree,,Campement,Campement miliciens de Bree,Hobbits,,
569,542,554,651,Ho37,Eriador,Pays de bree,,Hotel de soin,Puits de vie,Hobbits,,
577,532,578,651,Ho38,Eriador,Pays de bree,,Hotel de soin,Puits de vie,Hobbits,,
567,534,590,702,Po39,Eriador,Pays de bree,,Point de régénération de magie ,Puits de mana,Hobbits,,
566,535,614,654,Po40,Eriador,Pays de bree,,Point de régénération de magie ,Puits de mana,Hobbits,,
579,537,806,786,Vier12,Eriador,,,,,,,
573,536,,,,Eriador,Pays de dun,,,,,,
574,564,,,,Eriador,Pays de dun,,,,,,
564,574,,,,Eriador,Pays de dun,,,,,,
579,566,,,,Eriador,Pays de dun,,,,,,
573,561,,,,Eriador,Pays de dun,,,,,,
574,587,,,,Eriador,Pays de dun,,,,,,
564,522,,,,Eriador,Pays de dun,,,,,,
565,541,,,,Eriador,Pays de dun,,,,,,
581,560,,,,Eriador,Pays de dun,,,,,,
575,565,,,,Eriador,Pays de dun,,,,,,
564,569,,,,Eriador,Pays de dun,,,,,,
565,568,,,,Eriador,Pays de dun,,,,,,
581,562,,,,Eriador,Pays de dun,,,,,,
575,570,,,,Eriador,Pays de dun,,,,,,
573,575,,,,Eriador,Pays de dun,,,,,,
572,568,,,,Eriador,Pays de dun,,,,,,
573,562,,,,Eriador,Pays de dun,,,,,,
572,570,,,,Eriador,Pays de dun,,,,,,
569,575,,,,Eriador,Pays de dun,,,,,,
577,555,741,619,Vier13,Eriador,,,,,,,
567,559,,,,Eriador,Terres solitaires,,,,,,
566,569,,,,Eriador,Terres solitaires,,,,,,
579,542,,,,Eriador,Terres solitaires,,,,,,
573,532,,,,Eriador,Terres solitaires,,,,,,
574,534,,,,Eriador,Terres solitaires,,,,,,
564,535,,,,Eriador,Terres solitaires,,,,,,
579,537,,,,Eriador,Terres solitaires,,,,,,
568,533,,,,Eriador,Terres solitaires,,,,,,
581,533,,,,Eriador,Terres solitaires,,,,,,
575,533,,,,Eriador,Terres solitaires,,,,,,
573,536,,,,Eriador,Terres solitaires,,,,,,
572,537,,,,Eriador,Terres solitaires,,,,,,
569,521,,,,Eriador,Terres solitaires,,,,,,
577,521,,,,Eriador,Terres solitaires,,,,,,
567,531,,,,Eriador,Terres solitaires,,,,,,
566,538,,,,Eriador,Terres solitaires,,,,,,
579,538,,,,Eriador,Terres solitaires,,,,,,
573,537,,,,Eriador,Terres solitaires,,,,,,
574,535,,,,Eriador,Terres solitaires,,,,,,
564,534,874,609,Vier14,Eriador,,,,,,,
565,521,,,,Eriador,Trouée des trolls,,,,,,
581,535,,,,Eriador,Trouée des trolls,,,,,,
575,532,,,,Eriador,Trouée des trolls,,,,,,
573,534,,,,Eriador,Trouée des trolls,,,,,,
572,535,,,,Eriador,Trouée des trolls,,,,,,
569,537,,,,Eriador,Trouée des trolls,,,,,,
